EnergyAngle,Upper Limit (km),Low Energy (GeV),High Energy (GeV),Probability (Low),Probability (High),Probability Ratio (High/Low)
1.e5-1.e6-60,100.0,100000.0,1000000.0,8.782326749452955e-09,2.0258704094708214e-08,2.3067581829576214
1.e5-1.e6-70,100.0,100000.0,1000000.0,1.2738758978072296e-08,2.938520419267527e-08,2.3067556457624425
1.e5-1.e6-80,22.31,100000.0,1000000.0,2.2645119020823643e-08,5.223629750171842e-08,2.3067353920146667
1.e5-1.e6-89,5.26,100000.0,1000000.0,9.94978369813945e-09,2.2951621074817657e-08,2.306745731478512
1.e6-1.e7-60,100.0,1000000.0,10000000.0,2.0258704094708214e-08,4.673165829420466e-08,2.306744699746686
1.e6-1.e7-70,100.0,1000000.0,10000000.0,2.938520419267527e-08,6.778422602495665e-08,2.306746809738111
1.e6-1.e7-80,100.0,1000000.0,10000000.0,5.563117726251082e-08,1.2832701096798946e-07,2.3067462757878303
1.e6-1.e7-89,5.69,1000000.0,10000000.0,3.45388575011959e-08,7.967229939552697e-08,2.3067439156830343
1.e7-1.e8-60,100.0,10000000.0,100000000.0,4.673165829420466e-08,1.0779807246491192e-07,2.3067461416895685
1.e7-1.e8-70,100.0,10000000.0,100000000.0,6.778422602495665e-08,1.5636107669129113e-07,2.3067472457931797
1.e7-1.e8-80,100.0,10000000.0,100000000.0,1.2832701096798946e-07,2.960178493270489e-07,2.3067462344376515
1.e7-1.e8-89,5.91,10000000.0,100000000.0,9.254338554625708e-08,2.134735049478314e-07,2.306739738207744
