AUC,F1,Q_max,Z_max,energy_range,Q_max_TPR,Q_max_FPR,Q_max_threshold,Significance_max,Sig_TPR,Sig_FPR,Sig_threshold,Sig_Q,N_nu,N_p
0.9732824716267339,0.010881249284379835,6279.949558638083,1875314.1525514433,1.e5_1.e6_60,0.6279949558638083,0.0,0.9329361614207753,4885935.825775536,0.6279949558638083,0.0,0.9329361614207753,6279.949558638083,778.021508,16711150.738798
0.9585330010861927,0.02249850822507604,4148.936170212765,297550.0022224793,1.e5_1.e6_70,0.4148936170212766,0.0,0.9574841371182505,2395880.8761702124,0.4148936170212766,0.0,0.9574841371182505,4148.936170212765,577.468724,12403470.604399
0.9416505001611384,0.05835097033396708,5972.644376899696,140090.28419452906,1.e5_1.e6_80,0.5972644376899696,0.0,0.899317086156174,1835182.7229483281,0.5972644376899696,0.0,0.899317086156174,5972.644376899696,307.26469,6599748.85938
0.9943035040074186,0.010792504235361933,96.7741935483871,74706.61968222747,1.e6_1.e7_60,0.00967741935483871,0.0,0.9696174699190574,2273.7942580645163,0.00967741935483871,0.0,0.9696174699190574,96.7741935483871,23.495874,272966.88732
0.9830855332629356,0.01915224592479936,4097.14889123548,33088.74894813641,1.e6_1.e7_70,0.40971488912354803,0.0,0.968467578554805,71451.31442449841,0.40971488912354803,0.0,0.968467578554805,4097.14889123548,17.439277,202603.448187
0.9877794759825328,0.022332141493217494,6823.144104803493,12325.052492721967,1.e6_1.e7_80,0.6823144104803494,0.0,0.9467974903633634,63313.625818777284,0.6823144104803494,0.0,0.9467974903633634,6823.144104803493,9.279245,107803.043094
0.9999546871974855,0.002406912448913223,9711.9341563786,84.21907155411645,1.e6_1.e7_89,0.9711934156378601,0.0,0.8498793562496043,9195.725432098765,0.9711934156378601,0.0,0.8498793562496043,9711.9341563786,0.946848,11000.147273
0.9902429338456913,0.012811632400201667,5439.739413680782,-1237.8206587043069,1.e7_1.e8_60,0.5439739413680782,0.0,0.9595578679643659,3859.84325732899,0.5439739413680782,0.0,0.9595578679643659,5439.739413680782,0.709564,1521.765562
0.9905129032258064,0.0210465811718058,7247.311827956989,1922.965836360058,1.e7_1.e8_70,0.7247311827956989,0.0,0.9466994118883946,3816.8547526881716,0.7247311827956989,0.0,0.9466994118883946,7247.311827956989,0.526658,1129.49579
0.9987694770544292,0.006958263793371611,8911.419423692636,846.3267508538072,1.e7_1.e8_80,0.8911419423692636,0.0,0.9399416313827372,2497.2381536819635,0.8911419423692636,0.0,0.9399416313827372,8911.419423692636,0.280229,600.992157
0.9999012605042017,0.0010504201680672232,9086.134453781511,7.809285714285693,1.e7_1.e8_89,0.9086134453781513,0.0,0.9257497406381874,259.80892857142857,0.9086134453781513,0.0,0.9257497406381874,9086.134453781511,0.028594,61.32482
